benchmark_family,variant,cases,response_match_f1,rubric_score,tool_trajectory_score,tool_exact_match_rate,context_precision,context_recall,faithfulness,answer_relevancy,notes
workflow,full_system,5,0.224407,0.946667,0.63,0.0,,,,,Current end-to-end mock workflow in app.py.
workflow,system_without_rag,5,0.223025,0.946667,0.63,0.0,,,,,Same agent workflow with historical_tool conceptually removed; on the current fixed root-cause dataset it usually remains close to the full system because these prompts are mostly cost/pipeline investigations.
workflow,minimal_tool_path,5,0.536757,0.826667,0.583333,0.0,,,,,Pipeline-first minimal baseline using only the earliest available tool step.
rag_component,semantic_rag_current,5,0.229081,,,,1.0,0.810556,0.75763,0.433333,"Current semantic retrieval plus summary generation path, scored with the local RAG fallback metrics for benchmark comparability."
rag_component,keyword_rag_baseline,5,0.08858,,,,1.0,0.85,1.0,0.166667,Simple keyword-overlap retrieval baseline over local markdown knowledge docs.
